Date,Clicks,Impressions,CTR,Position
2026-03-09,6,4059,0.15%,4.7
2026-03-10,13,5002,0.26%,4.7
2026-03-11,7,4864,0.14%,4.7
2026-03-12,16,5048,0.32%,4.6
2026-03-13,4,4527,0.09%,4.6
2026-03-14,12,4260,0.28%,4.7
2026-03-15,12,3623,0.33%,5.4
2026-03-16,12,3617,0.33%,5.3
2026-03-17,11,4768,0.23%,5.2
2026-03-18,17,4039,0.42%,4.9
2026-03-19,15,4192,0.36%,4.8
2026-03-20,12,4325,0.28%,4.5
2026-03-21,12,3820,0.31%,5.1
2026-03-22,17,3911,0.43%,5.1
2026-03-23,11,4738,0.23%,4.7
2026-03-24,15,4726,0.32%,4.3
2026-03-25,13,5722,0.23%,4
2026-03-26,14,4866,0.29%,4.9
2026-03-27,12,2211,0.54%,7.1
2026-03-28,20,3040,0.66%,5.6
2026-03-29,20,3375,0.59%,5.5
2026-03-30,14,3292,0.43%,4.8
2026-03-31,16,3159,0.51%,6.1
2026-04-01,14,3206,0.44%,5.7
2026-04-02,11,3494,0.31%,5.3
2026-04-03,13,4375,0.3%,4
2026-04-04,12,3123,0.38%,5.6
2026-04-05,19,2307,0.82%,6.4
2026-04-06,14,2277,0.61%,6.6
2026-04-07,12,2391,0.5%,7.2
2026-04-08,12,2669,0.45%,6.2
2026-04-09,11,2727,0.4%,7
2026-04-10,10,2794,0.36%,6.5
2026-04-11,9,2581,0.35%,6.7
2026-04-12,16,2631,0.61%,7
2026-04-13,11,3051,0.36%,6.8
2026-04-14,12,3875,0.31%,6.2
2026-04-15,10,2448,0.41%,7
2026-04-16,19,2357,0.81%,7.8
2026-04-17,15,2416,0.62%,7.5
2026-04-18,12,2319,0.52%,7.3
2026-04-19,20,2494,0.8%,7.3
2026-04-20,19,3023,0.63%,7.5
2026-04-21,16,3540,0.45%,7.5
2026-04-22,10,3422,0.29%,7.4
2026-04-23,13,3266,0.4%,7.2
2026-04-24,11,3109,0.35%,7
2026-04-25,11,3407,0.32%,7
2026-04-26,14,3359,0.42%,6.9
2026-04-27,17,3278,0.52%,7.1
2026-04-28,11,3039,0.36%,7.1
2026-04-29,19,2841,0.67%,7
2026-04-30,8,2556,0.31%,6.6
2026-05-01,16,2599,0.62%,6.1
2026-05-02,16,2594,0.62%,6.2
2026-05-03,17,2664,0.64%,5.9
2026-05-04,20,2564,0.78%,6
2026-05-05,12,2469,0.49%,5.7
2026-05-06,14,2207,0.63%,5.7
2026-05-07,11,2101,0.52%,5.6
2026-05-08,8,2222,0.36%,5.6
2026-05-09,6,2310,0.26%,5.1
2026-05-10,6,2343,0.26%,5.4
2026-05-11,5,2178,0.23%,5.4
2026-05-12,6,2182,0.27%,5.3
2026-05-13,9,2159,0.42%,5
2026-05-14,6,2010,0.3%,5.4
2026-05-15,12,2003,0.6%,5.4
2026-05-16,10,2295,0.44%,5.5
2026-05-17,9,2237,0.4%,5.4
2026-05-18,11,2140,0.51%,5.5
2026-05-19,8,2168,0.37%,6
2026-05-20,10,2165,0.46%,5.5
2026-05-21,9,2305,0.39%,5.5
2026-05-22,10,2263,0.44%,5.7
2026-05-23,9,2138,0.42%,5.7
2026-05-24,11,2027,0.54%,6
2026-05-25,14,1937,0.72%,5.8
2026-05-26,7,1900,0.37%,5.5
2026-05-27,12,1934,0.62%,5.7
2026-05-28,3,1886,0.16%,5.7
2026-05-29,12,2170,0.55%,5.4
2026-05-30,11,2244,0.49%,5.3
2026-05-31,12,2264,0.53%,5.7
2026-06-01,7,2233,0.31%,6
2026-06-02,11,1935,0.57%,5.8
2026-06-03,9,1562,0.58%,5.5
2026-06-04,10,2005,0.5%,5.4
2026-06-05,8,1937,0.41%,5.3
2026-06-06,11,1866,0.59%,5.4
2026-06-07,13,1859,0.7%,5.2
2026-06-08,12,1962,0.61%,5.2
