Country,Clicks,Impressions,CTR,Position
Vietnam,488,226236,0.22%,4.78
United States,139,15969,0.87%,11.4
Australia,61,1984,3.07%,14.83
United Kingdom,50,2471,2.02%,15.92
India,34,2402,1.42%,10.23
Germany,30,893,3.36%,15.13
Singapore,25,640,3.91%,7.78
Canada,21,1934,1.09%,9.27
Philippines,15,1179,1.27%,8.72
Malaysia,13,480,2.71%,7.62
France,10,621,1.61%,17.88
Thailand,10,445,2.25%,8.06
Japan,9,484,1.86%,6.18
Belgium,9,170,5.29%,7.12
Indonesia,8,624,1.28%,7.65
Turkey,8,212,3.77%,9.09
Hong Kong,7,335,2.09%,7.39
South Korea,7,312,2.24%,8.6
Poland,7,281,2.49%,7.41
South Africa,7,277,2.53%,6.49
Finland,7,115,6.09%,6.59
Switzerland,6,160,3.75%,8.2
Egypt,6,139,4.32%,8.29
Spain,5,559,0.89%,12.01
Italy,5,400,1.25%,9.73
Netherlands,5,396,1.26%,8.42
Cambodia,5,75,6.67%,8.67
Brazil,4,732,0.55%,11.38
Sweden,4,253,1.58%,7.53
Russia,4,219,1.83%,9.16
Taiwan,4,185,2.16%,7.99
Ireland,4,181,2.21%,11.8
Greece,4,92,4.35%,6.8
New Zealand,3,321,0.93%,13.29
China,3,285,1.05%,10.15
Pakistan,3,227,1.32%,7.32
Denmark,3,143,2.1%,7.98
Romania,3,128,2.34%,6.93
Norway,3,122,2.46%,8.57
Czechia,3,108,2.78%,7.53
Slovenia,3,57,5.26%,18.58
Algeria,3,47,6.38%,9.04
Myanmar (Burma),3,47,6.38%,14.68
United Arab Emirates,2,241,0.83%,6.63
Nigeria,2,192,1.04%,5.69
Bangladesh,2,174,1.15%,8.74
Argentina,2,132,1.52%,9.88
Saudi Arabia,2,114,1.75%,10.49
Israel,2,103,1.94%,10.16
Hungary,2,78,2.56%,7.77
Serbia,2,69,2.9%,6.72
Jamaica,2,60,3.33%,7.35
Kuwait,2,40,5%,6.78
Slovakia,2,37,5.41%,8.7
Georgia,2,33,6.06%,7.09
Laos,2,25,8%,6.08
Kenya,1,171,0.58%,6.42
Ukraine,1,159,0.63%,7.56
Austria,1,115,0.87%,7.97
Portugal,1,111,0.9%,6.75
Sri Lanka,1,91,1.1%,6.7
Nepal,1,88,1.14%,7.25
Bulgaria,1,68,1.47%,7.79
Papua New Guinea,1,66,1.52%,6.91
Peru,1,63,1.59%,10.25
Croatia,1,48,2.08%,7.75
Venezuela,1,41,2.44%,11.41
Trinidad & Tobago,1,36,2.78%,5.89
